Roll_Number	Programme_Code	splcode	Roll_Number_S	Course_Code	Course code	Courses_Name	Credits	Course_Type	Semester	Specialization	Batch	Programme	SCHOOL
20/MBT/001	101	101I-	20MBT001	BtMSc501	BtMSc501	Biochemistry	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/001	101	101I-	20MBT001	BtMSc503	BtMSc503	Cell and Molecular Biology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/001	101	101I-	20MBT001	BtMSc505	BtMSc505	Plant and Animal Biotechnology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/001	101	101I-	20MBT001	BtMSc507	BtMSc507	Microbiology	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/001	101	101I-	20MBT001	BtMSc509	BtMSc509	Genetics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/001	101	101I-	20MBT001	MA415	MA415	Biostatistics	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/001	101	101I-	20MBT001	BtMSc511	BtMSc511	Basics of Chemistry and Physics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/001	101	101I-	20MBT001	BtMSc513	BtMSc513	Biochemistry and Analytical Techniques	4		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/001	101	101I-	20MBT001	BtMSc515	BtMSc515	Microbiology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/001	101	101I-	20MBT001	BtMSc517	BtMSc517	Plant and Animal Biotechnology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/001	101	101I-	20MBT001	GP	GP	General Proficiency	0		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/002	101	101I-	20MBT002	BtMSc501	BtMSc501	Biochemistry	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/002	101	101I-	20MBT002	BtMSc503	BtMSc503	Cell and Molecular Biology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/002	101	101I-	20MBT002	BtMSc505	BtMSc505	Plant and Animal Biotechnology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/002	101	101I-	20MBT002	BtMSc507	BtMSc507	Microbiology	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/002	101	101I-	20MBT002	BtMSc509	BtMSc509	Genetics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/002	101	101I-	20MBT002	MA415	MA415	Biostatistics	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/002	101	101I-	20MBT002	BtMSc511	BtMSc511	Basics of Chemistry and Physics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/002	101	101I-	20MBT002	BtMSc513	BtMSc513	Biochemistry and Analytical Techniques	4		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/002	101	101I-	20MBT002	BtMSc515	BtMSc515	Microbiology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/002	101	101I-	20MBT002	BtMSc517	BtMSc517	Plant and Animal Biotechnology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/002	101	101I-	20MBT002	GP	GP	General Proficiency	0		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/003	101	101I-	20MBT003	BtMSc501	BtMSc501	Biochemistry	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/003	101	101I-	20MBT003	BtMSc503	BtMSc503	Cell and Molecular Biology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/003	101	101I-	20MBT003	BtMSc505	BtMSc505	Plant and Animal Biotechnology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/003	101	101I-	20MBT003	BtMSc507	BtMSc507	Microbiology	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/003	101	101I-	20MBT003	BtMSc509	BtMSc509	Genetics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/003	101	101I-	20MBT003	MA415	MA415	Biostatistics	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/003	101	101I-	20MBT003	BtMSc511	BtMSc511	Basics of Chemistry and Physics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/003	101	101I-	20MBT003	BtMSc513	BtMSc513	Biochemistry and Analytical Techniques	4		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/003	101	101I-	20MBT003	BtMSc515	BtMSc515	Microbiology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/003	101	101I-	20MBT003	BtMSc517	BtMSc517	Plant and Animal Biotechnology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/003	101	101I-	20MBT003	GP	GP	General Proficiency	0		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/004	101	101I-	20MBT004	BtMSc501	BtMSc501	Biochemistry	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/004	101	101I-	20MBT004	BtMSc503	BtMSc503	Cell and Molecular Biology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/004	101	101I-	20MBT004	BtMSc505	BtMSc505	Plant and Animal Biotechnology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/004	101	101I-	20MBT004	BtMSc507	BtMSc507	Microbiology	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/004	101	101I-	20MBT004	BtMSc509	BtMSc509	Genetics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/004	101	101I-	20MBT004	MA415	MA415	Biostatistics	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/004	101	101I-	20MBT004	BtMSc511	BtMSc511	Basics of Chemistry and Physics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/004	101	101I-	20MBT004	BtMSc513	BtMSc513	Biochemistry and Analytical Techniques	4		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/004	101	101I-	20MBT004	BtMSc515	BtMSc515	Microbiology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/004	101	101I-	20MBT004	BtMSc517	BtMSc517	Plant and Animal Biotechnology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/004	101	101I-	20MBT004	GP	GP	General Proficiency	0		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/005	101	101I-	20MBT005	BtMSc501	BtMSc501	Biochemistry	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/005	101	101I-	20MBT005	BtMSc503	BtMSc503	Cell and Molecular Biology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/005	101	101I-	20MBT005	BtMSc505	BtMSc505	Plant and Animal Biotechnology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/005	101	101I-	20MBT005	BtMSc507	BtMSc507	Microbiology	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/005	101	101I-	20MBT005	BtMSc509	BtMSc509	Genetics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/005	101	101I-	20MBT005	MA415	MA415	Biostatistics	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/005	101	101I-	20MBT005	BtMSc511	BtMSc511	Basics of Chemistry and Physics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/005	101	101I-	20MBT005	BtMSc513	BtMSc513	Biochemistry and Analytical Techniques	4		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/005	101	101I-	20MBT005	BtMSc515	BtMSc515	Microbiology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/005	101	101I-	20MBT005	BtMSc517	BtMSc517	Plant and Animal Biotechnology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/005	101	101I-	20MBT005	GP	GP	General Proficiency	0		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/006	101	101I-	20MBT006	BtMSc501	BtMSc501	Biochemistry	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/006	101	101I-	20MBT006	BtMSc503	BtMSc503	Cell and Molecular Biology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/006	101	101I-	20MBT006	BtMSc505	BtMSc505	Plant and Animal Biotechnology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/006	101	101I-	20MBT006	BtMSc507	BtMSc507	Microbiology	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/006	101	101I-	20MBT006	BtMSc509	BtMSc509	Genetics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/006	101	101I-	20MBT006	MA415	MA415	Biostatistics	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/006	101	101I-	20MBT006	BtMSc511	BtMSc511	Basics of Chemistry and Physics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/006	101	101I-	20MBT006	BtMSc513	BtMSc513	Biochemistry and Analytical Techniques	4		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/006	101	101I-	20MBT006	BtMSc515	BtMSc515	Microbiology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/006	101	101I-	20MBT006	BtMSc517	BtMSc517	Plant and Animal Biotechnology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/006	101	101I-	20MBT006	GP	GP	General Proficiency	0		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/007	101	101I-	20MBT007	BtMSc501	BtMSc501	Biochemistry	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/007	101	101I-	20MBT007	BtMSc503	BtMSc503	Cell and Molecular Biology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/007	101	101I-	20MBT007	BtMSc505	BtMSc505	Plant and Animal Biotechnology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/007	101	101I-	20MBT007	BtMSc507	BtMSc507	Microbiology	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/007	101	101I-	20MBT007	BtMSc509	BtMSc509	Genetics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/007	101	101I-	20MBT007	MA415	MA415	Biostatistics	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/007	101	101I-	20MBT007	BtMSc511	BtMSc511	Basics of Chemistry and Physics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/007	101	101I-	20MBT007	BtMSc513	BtMSc513	Biochemistry and Analytical Techniques	4		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/007	101	101I-	20MBT007	BtMSc515	BtMSc515	Microbiology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/007	101	101I-	20MBT007	BtMSc517	BtMSc517	Plant and Animal Biotechnology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/007	101	101I-	20MBT007	GP	GP	General Proficiency	0		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/008	101	101I-	20MBT008	BtMSc501	BtMSc501	Biochemistry	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/008	101	101I-	20MBT008	BtMSc503	BtMSc503	Cell and Molecular Biology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/008	101	101I-	20MBT008	BtMSc505	BtMSc505	Plant and Animal Biotechnology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/008	101	101I-	20MBT008	BtMSc507	BtMSc507	Microbiology	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/008	101	101I-	20MBT008	BtMSc509	BtMSc509	Genetics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/008	101	101I-	20MBT008	MA415	MA415	Biostatistics	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/008	101	101I-	20MBT008	BtMSc511	BtMSc511	Basics of Chemistry and Physics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/008	101	101I-	20MBT008	BtMSc513	BtMSc513	Biochemistry and Analytical Techniques	4		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/008	101	101I-	20MBT008	BtMSc515	BtMSc515	Microbiology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/008	101	101I-	20MBT008	BtMSc517	BtMSc517	Plant and Animal Biotechnology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/008	101	101I-	20MBT008	GP	GP	General Proficiency	0		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/009	101	101I-	20MBT009	BtMSc501	BtMSc501	Biochemistry	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/009	101	101I-	20MBT009	BtMSc503	BtMSc503	Cell and Molecular Biology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/009	101	101I-	20MBT009	BtMSc505	BtMSc505	Plant and Animal Biotechnology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/009	101	101I-	20MBT009	BtMSc507	BtMSc507	Microbiology	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/009	101	101I-	20MBT009	BtMSc509	BtMSc509	Genetics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/009	101	101I-	20MBT009	MA415	MA415	Biostatistics	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/009	101	101I-	20MBT009	BtMSc511	BtMSc511	Basics of Chemistry and Physics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/009	101	101I-	20MBT009	BtMSc513	BtMSc513	Biochemistry and Analytical Techniques	4		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/009	101	101I-	20MBT009	BtMSc515	BtMSc515	Microbiology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/009	101	101I-	20MBT009	BtMSc517	BtMSc517	Plant and Animal Biotechnology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/009	101	101I-	20MBT009	GP	GP	General Proficiency	0		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/010	101	101I-	20MBT010	BtMSc501	BtMSc501	Biochemistry	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/010	101	101I-	20MBT010	BtMSc503	BtMSc503	Cell and Molecular Biology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/010	101	101I-	20MBT010	BtMSc505	BtMSc505	Plant and Animal Biotechnology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/010	101	101I-	20MBT010	BtMSc507	BtMSc507	Microbiology	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/010	101	101I-	20MBT010	BtMSc509	BtMSc509	Genetics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/010	101	101I-	20MBT010	MA415	MA415	Biostatistics	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/010	101	101I-	20MBT010	BtMSc511	BtMSc511	Basics of Chemistry and Physics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/010	101	101I-	20MBT010	BtMSc513	BtMSc513	Biochemistry and Analytical Techniques	4		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/010	101	101I-	20MBT010	BtMSc515	BtMSc515	Microbiology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/010	101	101I-	20MBT010	BtMSc517	BtMSc517	Plant and Animal Biotechnology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/010	101	101I-	20MBT010	GP	GP	General Proficiency	0		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/011	101	101I-	20MBT011	BtMSc501	BtMSc501	Biochemistry	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/011	101	101I-	20MBT011	BtMSc503	BtMSc503	Cell and Molecular Biology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/011	101	101I-	20MBT011	BtMSc505	BtMSc505	Plant and Animal Biotechnology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/011	101	101I-	20MBT011	BtMSc507	BtMSc507	Microbiology	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/011	101	101I-	20MBT011	BtMSc509	BtMSc509	Genetics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/011	101	101I-	20MBT011	MA415	MA415	Biostatistics	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/011	101	101I-	20MBT011	BtMSc511	BtMSc511	Basics of Chemistry and Physics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/011	101	101I-	20MBT011	BtMSc513	BtMSc513	Biochemistry and Analytical Techniques	4		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/011	101	101I-	20MBT011	BtMSc515	BtMSc515	Microbiology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/011	101	101I-	20MBT011	BtMSc517	BtMSc517	Plant and Animal Biotechnology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/011	101	101I-	20MBT011	GP	GP	General Proficiency	0		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/012	101	101I-	20MBT012	BtMSc501	BtMSc501	Biochemistry	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/012	101	101I-	20MBT012	BtMSc503	BtMSc503	Cell and Molecular Biology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/012	101	101I-	20MBT012	BtMSc505	BtMSc505	Plant and Animal Biotechnology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/012	101	101I-	20MBT012	BtMSc507	BtMSc507	Microbiology	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/012	101	101I-	20MBT012	BtMSc509	BtMSc509	Genetics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/012	101	101I-	20MBT012	MA415	MA415	Biostatistics	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/012	101	101I-	20MBT012	BtMSc511	BtMSc511	Basics of Chemistry and Physics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/012	101	101I-	20MBT012	BtMSc513	BtMSc513	Biochemistry and Analytical Techniques	4		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/012	101	101I-	20MBT012	BtMSc515	BtMSc515	Microbiology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/012	101	101I-	20MBT012	BtMSc517	BtMSc517	Plant and Animal Biotechnology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/012	101	101I-	20MBT012	GP	GP	General Proficiency	0		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/013	101	101I-	20MBT013	BtMSc501	BtMSc501	Biochemistry	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/013	101	101I-	20MBT013	BtMSc503	BtMSc503	Cell and Molecular Biology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/013	101	101I-	20MBT013	BtMSc505	BtMSc505	Plant and Animal Biotechnology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/013	101	101I-	20MBT013	BtMSc507	BtMSc507	Microbiology	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/013	101	101I-	20MBT013	BtMSc509	BtMSc509	Genetics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/013	101	101I-	20MBT013	MA415	MA415	Biostatistics	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/013	101	101I-	20MBT013	BtMSc511	BtMSc511	Basics of Chemistry and Physics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/013	101	101I-	20MBT013	BtMSc513	BtMSc513	Biochemistry and Analytical Techniques	4		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/013	101	101I-	20MBT013	BtMSc515	BtMSc515	Microbiology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/013	101	101I-	20MBT013	BtMSc517	BtMSc517	Plant and Animal Biotechnology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/013	101	101I-	20MBT013	GP	GP	General Proficiency	0		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/014	101	101I-	20MBT014	BtMSc501	BtMSc501	Biochemistry	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/014	101	101I-	20MBT014	BtMSc503	BtMSc503	Cell and Molecular Biology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/014	101	101I-	20MBT014	BtMSc505	BtMSc505	Plant and Animal Biotechnology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/014	101	101I-	20MBT014	BtMSc507	BtMSc507	Microbiology	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/014	101	101I-	20MBT014	BtMSc509	BtMSc509	Genetics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/014	101	101I-	20MBT014	MA415	MA415	Biostatistics	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/014	101	101I-	20MBT014	BtMSc511	BtMSc511	Basics of Chemistry and Physics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/014	101	101I-	20MBT014	BtMSc513	BtMSc513	Biochemistry and Analytical Techniques	4		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/014	101	101I-	20MBT014	BtMSc515	BtMSc515	Microbiology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/014	101	101I-	20MBT014	BtMSc517	BtMSc517	Plant and Animal Biotechnology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/014	101	101I-	20MBT014	GP	GP	General Proficiency	0		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/015	101	101I-	20MBT015	BtMSc501	BtMSc501	Biochemistry	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/015	101	101I-	20MBT015	BtMSc503	BtMSc503	Cell and Molecular Biology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/015	101	101I-	20MBT015	BtMSc505	BtMSc505	Plant and Animal Biotechnology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/015	101	101I-	20MBT015	BtMSc507	BtMSc507	Microbiology	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/015	101	101I-	20MBT015	BtMSc509	BtMSc509	Genetics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
